AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
396,Seikai no Senki,TV,13,Apr 2000,Jul 2000,35011,7.65
50608,Tokyo Revengers: Seiya Kessen-hen,TV,13,Jan 2023,Apr 2023,378117,7.65
53446,Tondemo Skill de Isekai Hourou Meshi,TV,12,Jan 2023,Mar 2023,254870,7.65
12883,Tsuritama,TV,12,Apr 2012,Jun 2012,171059,7.65
5485,Shin Mazinger Shougeki! Z-hen,TV,26,Apr 2009,Sep 2009,16544,7.64
54842,Sugar Apple Fairy Tale Part 2,TV,12,Jul 2023,Sep 2023,64811,7.64
6956,Working!!,TV,13,Apr 2010,Jun 2010,440232,7.64
34445,Yuuki Yuuna wa Yuusha de Aru: Yuusha no Shou,TV,6,Nov 2017,Jan 2018,42961,7.64
55973,30-sai made Doutei dato Mahoutsukai ni Nareru Rashii,TV,12,Jan 2024,Mar 2024,65622,7.64
38101,5-toubun no Hanayome,TV,12,Jan 2019,Mar 2019,984169,7.64
36904,Aggressive Retsuko (ONA),ONA,10,Apr 2018,Apr 2018,186019,7.64
1961,Arashi no Yoru ni,Movie,1,Dec 2005,Dec 2005,23917,7.64
951,Chibi Maruko-chan,TV,142,Jan 1990,Sep 1992,13298,7.64
34439,Code Geass: Hangyaku no Lelouch II - Handou,Movie,1,Feb 2018,Feb 2018,77936,7.64
42423,Date A Bullet: Nightmare or Queen,Movie,1,Nov 2020,Nov 2020,76169,7.64
874,Digimon Tamers,TV,51,Apr 2001,Mar 2002,202561,7.64
33032,Drifters: Special Edition,OVA,1,Jun 2016,Jun 2016,35159,7.64
74,Gakuen Alice,TV,26,Oct 2004,May 2005,102372,7.64
644,Hachimitsu to Clover Specials,Special,2,Dec 2005,Feb 2006,31755,7.64
56243,Jujutsu Kaisen 2nd Season Recaps,TV,N/A,Aug 2023,Aug 2023,26377,7.64
8525,Kami nomi zo Shiru Sekai,TV,12,Oct 2010,Dec 2010,640030,7.64
32792,Kidou Senshi Gundam Unicorn RE:0096,TV,22,Apr 2016,Sep 2016,36359,7.64
48426,Kitarou Tanjou: Gegege no Nazo,Movie,1,Nov 2023,Nov 2023,6873,7.64
39071,Machikado Mazoku,TV,12,Jul 2019,Sep 2019,171000,7.64
2963,Minami-ke,TV,13,Oct 2007,Dec 2007,175754,7.64
14511,Minami-ke Tadaima,TV,13,Jan 2013,Mar 2013,58766,7.64
40111,Nezha Zhi Mo Tong Jiang Shi,Movie,1,Jul 2019,Jul 2019,14622,7.64
5530,Pandora Hearts,TV,25,Apr 2009,Sep 2009,437692,7.64
52747,Psycho-Pass Movie: Providence,Movie,1,May 2023,May 2023,51033,7.64
36513,Rokuhou-dou Yotsuiro Biyori,TV,12,Apr 2018,Jun 2018,34931,7.64
2454,Kimagure Orange☆Road: Ano Hi ni Kaeritai,Movie,1,Oct 1988,Oct 1988,10881,7.63
6172,Layton Kyouju to Eien no Utahime,Movie,1,Dec 2009,Dec 2009,30000,7.63
23755,Nanatsu no Taizai,TV,24,Oct 2014,Mar 2015,2098763,7.63
31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,TV,13,Jul 2016,Oct 2016,328169,7.63
12021,Poyopoyo Kansatsu Nikki,TV,52,Jan 2012,Dec 2012,21632,7.63
41141,Princess Principal: Crown Handler Movie 3,Movie,1,Apr 2023,Apr 2023,12300,7.63
1011,Ranma ½ Super,OVA,3,Sep 1995,Jan 1996,20297,7.63
39477,Shingeki no Kyojin Season 3 Specials,Special,7,Oct 2018,Sep 2019,38878,7.63
54123,Shixiong A Shixiong,ONA,13,Jan 2023,Apr 2023,2044,7.63
19775,Sidonia no Kishi,TV,12,Apr 2014,Jun 2014,235694,7.63
49877,Tensei shitara Slime Datta Ken Movie: Guren no Kizuna-hen,Movie,1,Nov 2022,Nov 2022,219023,7.63
38917,Tong Ling Fei,ONA,16,Nov 2018,Apr 2019,48242,7.63
48491,Yama no Susume: Next Summit,TV,12,Oct 2022,Dec 2022,26176,7.63
31783,Yowamushi Pedal: New Generation,TV,25,Jan 2017,Jun 2017,82773,7.63
21995,Ao Haru Ride,TV,12,Jul 2014,Sep 2014,952646,7.63
1239,Bishoujo Senshi Sailor Moon SuperS,TV,39,Mar 1995,Mar 1996,122906,7.63
24913,Bokura wa Minna Kawai-sou: Hajimete no,Special,1,Jan 2015,Jan 2015,51204,7.63
4177,Bounen no Xamdou,ONA,26,Jul 2008,Feb 2009,145009,7.63
371,Cardcaptor Sakura Movie 1,Movie,1,Aug 1999,Aug 1999,102089,7.63
233,Daa! Daa! Daa!,TV,78,Mar 2000,Feb 2002,26531,7.63
2673,Doraemon Movie 27: Nobita no Shin Makai Daibouken - 7-nin no Mahoutsukai,Movie,1,Mar 2007,Mar 2007,10748,7.63
55692,Feng Ling Yu Xiu 2nd Season,ONA,12,Jul 2023,Sep 2023,1825,7.63
32979,Flip Flappers,TV,13,Oct 2016,Dec 2016,195036,7.63
240,Genshiken,TV,12,Oct 2004,Dec 2004,183126,7.63
9288,Heartcatch Precure! Movie: Hana no Miyako de Fashion Show... desu ka!?,Movie,1,Oct 2010,Oct 2010,8321,7.63
53716,Hirogaru Sky! Precure,TV,50,Feb 2023,Jan 2024,10857,7.63
488,Ichigo Mashimaro,TV,12,Jul 2005,Oct 2005,115805,7.63
34542,Inuyashiki,TV,11,Oct 2017,Dec 2017,665264,7.63
32977,Aggressive Retsuko,TV,100,Apr 2016,Mar 2018,109596,7.62
14941,AKB0048: Next Stage,TV,13,Jan 2013,Mar 2013,37624,7.62
8247,Bleach Movie 4: Jigoku-hen,Movie,1,Dec 2010,Dec 2010,221171,7.62
6772,Break Blade Movie 1: Kakusei no Toki,Movie,1,May 2010,May 2010,85884,7.62
55733,Di Yi Xulie,ONA,16,Jul 2023,Oct 2023,1685,7.62
34349,Diamond no Ace: Second Season OVA,OVA,2,Aug 2016,Oct 2016,11894,7.62
2665,Doraemon Movie 07: Nobita to Tetsujin Heidan,Movie,1,Mar 1986,Mar 1986,9171,7.62
