AnimeID,Title,Type,Episodes,Aired Start,Aired End,Members,Score
5147,Comic Party Revolution OVA,OVA,4,Dec 2003,Nov 2004,3808,6.38
40251,Cyborg 009: The Cyborg Soldier - Kami no Ubugoe,Special,1,Aug 2003,Aug 2003,1614,6.38
2285,D.I.C.E.,TV,40,Dec 2005,Sep 2006,5093,6.38
54973,Dianqi Shaonu,ONA,12,Apr 2023,Jun 2023,1099,6.38
32010,"Eikoku Ikka, Nihon wo Taberu: English Ikka, Shougatsu wo Taberu",TV,N/A,Jan 2016,Jan 2016,454,6.38
22053,Gakkou no Kaidan (OVA),OVA,10,Jul 2005,Aug 2009,1669,6.38
33389,Genbanojou,Movie,1,Mar 2017,Mar 2017,1282,6.38
4242,Ginga Reppuu Baxingar,TV,39,Jul 1982,Mar 1983,1925,6.38
3190,Guitar wo Motta Shounen: Kikaider vs. Inazuman,Special,1,Sep 2003,Sep 2003,1509,6.38
35183,Gurazeni,TV,12,Apr 2018,Jun 2018,12156,6.38
38254,Hashiri Tsuzukete Yokatta tte.,TV,4,Oct 2018,Oct 2018,12757,6.38
41191,Hikaru no Go Recaps,Special,2,Jan 2003,Oct 2003,1245,6.38
17233,Jib,Movie,1,Mar 2011,Mar 2011,744,6.38
56579,Jinyi Shen Jiang,ONA,13,Sep 2023,Nov 2023,465,6.38
30524,Kagewani,TV,13,Oct 2015,Dec 2015,33479,6.38
3866,Kuro ga Ita Natsu,Movie,1,Jun 1990,Jun 1990,1131,6.38
1810,Kyoushirou to Towa no Sora,TV,12,Jan 2007,Mar 2007,44338,6.38
31866,Last Exile: Ginyoku no Fam Movie - Over the Wishes,Movie,1,Feb 2016,Feb 2016,4941,6.38
1617,Massugu ni Ikou.,TV,4,Aug 2003,Aug 2003,4557,6.38
6492,Minky Momo in Tabidachi no Eki,OVA,1,Jun 1994,Jun 1994,2342,6.38
2085,NG Knight Ramune & 40 EX: Biku Biku Triangle Ai no Arashi Daisakusen,OVA,3,Jul 1991,Nov 1991,1698,6.38
920,Nurse Witch Komugi-chan Magikarte Special,Special,1,Jun 2003,Jun 2003,6210,6.38
34117,Otousan wa Ai no Hito,ONA,1,Jul 2016,Jul 2016,717,6.38
4910,Pokemon: Pikachu no Wanpaku Island,Special,1,Aug 2006,Aug 2006,10651,6.38
34799,PriPri Chii-chan!!,TV,36,Apr 2017,Dec 2017,3880,6.38
1298,Project A-Ko 4: Final,OVA,1,Oct 1989,Oct 1989,6401,6.38
56207,Quanzhi Fashi Tebie Pian: Shenmi Weituo,ONA,6,Aug 2024,Aug 2024,2683,6.38
5288,RahXephon: Tsubasa no Kioku - Memory,TV,N/A,Apr 2002,Apr 2002,4221,6.38
21679,"Saikin, Imouto no Yousu ga Chotto Okashiinda ga. OVA",OVA,1,Jun 2014,Jun 2014,30155,6.38
7017,K-On!: Ura-On!,Special,7,Jul 2009,Jan 2010,64045,6.37
34198,Kamisama Minarai: Himitsu no Cocotama Movie - Kiseki wo Okose♪ Tepple to Dokidoki Cocotama-kai,Movie,1,Apr 2017,Apr 2017,719,6.37
58854,Kinoko Inu,TV,12,Oct 2024,N/A,5334,6.38
8302,Ladies versus Butlers! Specials,Special,6,Mar 2010,Aug 2010,35588,6.37
31673,Larva 2nd Season,TV,52,Jan 2013,Sep 2013,1676,6.37
37254,Last Period: Owarinaki Rasen no Monogatari,TV,12,Apr 2018,Jun 2018,40328,6.37
1918,Mahou Shoujo Pretty Sammy,OVA,3,Aug 1995,Aug 1997,8467,6.37
20033,Miss Monochrome The Animation,TV,13,Oct 2013,Dec 2013,50906,6.37
16680,Pokemon Movie 16: Shinsoku no Genosect - Mewtwo Kakusei,Movie,1,Jul 2013,Jul 2013,50829,6.37
51404,Rakudai Majo: Fuuka to Yami no Majo,Movie,1,Mar 2023,Mar 2023,3683,6.37
40035,Rebecca,ONA,1,Mar 2020,Mar 2020,1528,6.37
1964,Sakura Taisen: Ecole de Paris,OVA,3,Mar 2003,Aug 2003,4630,6.37
9202,Seikon no Qwaser: Jotei no Shouzou,OVA,1,Oct 2010,Oct 2010,29057,6.37
28447,Shingeki no Bahamut: Genesis - Roundup,TV,N/A,Nov 2014,Nov 2014,16907,6.37
6468,Tensai Bakabon,TV,40,Sep 1971,Jun 1972,1721,6.37
2686,Tetsujin 28-gou,TV,96,Oct 1963,Nov 1965,4134,6.37
36511,Tokyo Ghoul:re,TV,12,Apr 2018,Jun 2018,1217864,6.37
39115,Uchuu Senkan Tiramisù II Specials,Special,4,Jan 2019,Jan 2019,2510,6.37
